Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations,year,Participant Gender,Participant Name,Participant Age Group,# Casualties,Latitude,Longitude,Day Name,Month
2018-04-01,Georgia,Atlanta,1200 block of Bouldercrest Rd SE,0.0,1.0,0.0,0.0,1.0,,2018,,,,1.0,33.7489924,-84.3902644,Sunday,April
2018-04-01,Alabama,Birmingham,,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,52.4796992,-1.9026911,Sunday,April
2018-04-02,Illinois,Lansing,17700 block of Rosewood Dr,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,42.7337712,-84.5553805,Monday,April
2018-04-04,Louisiana,New Orleans,3300 Garden Oaks Drive,2.0,2.0,0.0,0.0,0.0,,2018,,,,4.0,29.9759983,-90.0782127,Wednesday,April
2018-04-05,Michigan,Detroit,11000 block of Chelsea Ave,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,42.3315509,-83.0466403,Thursday,April
2018-04-05,South Carolina,Horry (county),,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,33.9204504,-78.9578973,Thursday,April
2018-04-06,Georgia,Atlanta,300 block of Fairburn Road,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,33.7489924,-84.3902644,Friday,April
2018-04-07,Michigan,Detroit,15911 Livernois Ave,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,42.3315509,-83.0466403,Saturday,April
2018-04-07,North Carolina,Raleigh,4200 block of Brintons Cottage Rd,2.0,0.0,0.0,1.0,0.0,,2018,,,,3.0,35.7803977,-78.6390989,Saturday,April
2018-04-07,Mississippi,Philadelphia,Chestnut Street,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,39.9527237,-75.1635262,Saturday,April
2018-04-09,California,San Diego,3200 block of Apache Ave,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,32.7174202,-117.1627728,Monday,April
2018-04-10,Texas,San Antonio,11300 block of Roszell St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,29.4246002,-98.4951405,Tuesday,April
2018-04-10,North Carolina,Snow Hill,1043 Davis Grove Church Rd,0.0,2.0,0.0,0.0,1.0,,2018,,,,2.0,35.4515504,-77.6810859,Tuesday,April
2018-04-10,Kansas,Overland Park,Switzer St and W 85th St,1.0,1.0,0.0,0.0,1.0,,2018,,,,2.0,38.9742502,-94.6851702,Tuesday,April
2018-04-11,South Carolina,Summerville,1225 Boonehill Rd,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,33.0186699,-80.1762704,Wednesday,April
